,Unnamed: 0,Season,Game_ID,Game_Date,Away_Team,Home_Team,Total_Viewers,Home_Win,is_weekend,is_christmas,Total_FGA,Total_FTA,HT_Diff,Q4_Diff,Final_Diff,Avg_Pace,Avg_EFG,Start_Time,Total_Fouls,Avg_Win%,Win%_Diff,First_Five_Games,Num_OT,is_opening_day,Num_Allstars,Active_Allstars
0,1,2016-17,21600001,2016-10-25,NYK,CLE,57691,True,False,False,181.0,39.0,3.0,18.0,29.0,99.5,0.4837,08:00,44.0,0.5,0.0,True,0.0,True,4.0,4.0
1,2,2016-17,21600003,2016-10-25,SAS,GSW,60428,False,False,False,183.0,44.0,18.0,20.0,29.0,98.0,0.5263,10:30,38.0,0.5,0.0,True,0.0,True,5.0,5.0
2,3,2016-17,21600002,2016-10-25,UTA,POR,40740,True,False,False,157.0,38.0,8.0,6.0,9.0,92.0,0.57165,10:00,37.0,0.5,0.0,True,0.0,True,1.0,0.0
3,4,2016-17,21600006,2016-10-26,BKN,BOS,23947,True,False,False,186.0,38.0,6.0,16.0,5.0,103.0,0.56085,07:30,39.0,0.5,0.0,True,0.0,False,1.0,1.0
4,5,2016-17,21600008,2016-10-26,CHA,MIL,12046,False,False,False,181.0,44.0,15.0,17.0,11.0,96.5,0.4645,08:00,44.0,0.5,0.0,True,0.0,False,2.0,2.0
5,6,2016-17,21600005,2016-10-26,DAL,IND,33922,True,False,False,197.0,52.0,7.0,9.0,9.0,103.0,0.53915,07:00,50.0,0.5,0.0,True,1.0,False,1.0,1.0
6,7,2016-17,21600007,2016-10-26,DET,TOR,14887,True,False,False,170.0,51.0,12.0,15.0,18.0,96.0,0.46735,07:30,46.0,0.5,0.0,True,0.0,False,2.0,2.0
7,8,2016-17,21600013,2016-10-26,HOU,LAL,34087,True,False,False,175.0,49.0,8.0,6.0,6.0,100.0,0.56265,10:30,47.0,0.5,0.0,True,0.0,False,1.0,1.0
8,9,2016-17,21600004,2016-10-26,MIA,ORL,22756,False,False,False,185.0,44.0,3.0,11.0,12.0,95.0,0.46285,07:00,37.0,0.5,0.0,True,0.0,False,0.0,0.0
9,10,2016-17,21600009,2016-10-26,MIN,MEM,21853,True,False,False,166.0,56.0,9.0,1.0,4.0,91.5,0.48615,08:00,48.0,0.5,0.0,True,0.0,False,1.0,1.0
10,11,2016-17,21600011,2016-10-26,OKC,PHI,42455,False,False,False,178.0,51.0,0.0,6.0,6.0,100.0,0.4585,08:00,45.0,0.5,0.0,True,0.0,False,1.0,1.0
11,12,2016-17,21600012,2016-10-26,SAC,PHX,14435,False,False,False,163.0,53.0,19.0,17.0,19.0,96.5,0.52,10:00,49.0,0.5,0.0,True,0.0,False,1.0,1.0
12,13,2016-17,21600015,2016-10-27,BOS,CHI,50539,True,False,False,168.0,54.0,8.0,6.0,6.0,94.0,0.50185,08:00,46.0,0.75,0.5,True,0.0,False,2.0,2.0
13,14,2016-17,21600017,2016-10-27,LAC,POR,29674,False,False,False,176.0,78.0,9.0,0.0,8.0,101.0,0.46645000000000003,10:30,59.0,0.75,0.5,True,0.0,False,1.0,1.0
14,15,2016-17,21600016,2016-10-27,SAS,SAC,27634,False,False,False,149.0,65.0,4.0,5.0,8.0,92.0,0.46830000000000005,10:30,47.0,1.0,0.0,True,0.0,False,2.0,2.0
15,16,2016-17,21600014,2016-10-27,WAS,ATL,27848,True,False,False,182.0,36.0,1.0,1.0,15.0,103.0,0.5128,07:30,39.0,0.5,0.0,True,0.0,False,2.0,2.0
16,17,2016-17,21600022,2016-10-28,CHA,MIA,12886,False,False,False,178.0,44.0,11.0,4.0,6.0,97.5,0.436,08:00,43.0,1.0,0.0,True,0.0,False,1.0,1.0
17,18,2016-17,21600018,2016-10-28,CLE,TOR,48951,False,False,False,169.0,40.0,10.0,4.0,3.0,94.0,0.4524,07:00,35.0,1.0,0.0,True,0.0,False,5.0,5.0
18,19,2016-17,21600025,2016-10-28,GSW,NOP,46471,False,False,False,191.0,51.0,9.0,11.0,8.0,108.5,0.514,09:30,46.0,0.0,0.0,True,0.0,False,5.0,5.0
19,20,2016-17,21600019,2016-10-28,IND,BKN,23043,True,False,False,185.0,40.0,4.0,7.0,9.0,99.0,0.4538,07:30,45.0,0.5,1.0,True,0.0,False,1.0,1.0
20,21,2016-17,21600024,2016-10-28,LAL,UTA,25043,True,False,False,159.0,61.0,5.0,0.0,7.0,93.0,0.44389999999999996,09:00,47.0,0.5,1.0,True,0.0,False,1.0,0.0
21,22,2016-17,21600020,2016-10-28,ORL,DET,10691,True,False,False,190.0,18.0,23.0,35.0,26.0,95.0,0.4658,07:30,24.0,0.0,0.0,True,0.0,False,0.0,0.0
22,23,2016-17,21600021,2016-10-28,PHX,OKC,37236,True,False,False,190.0,70.0,4.0,6.0,3.0,104.0,0.45804999999999996,08:00,53.0,0.5,1.0,True,1.0,False,1.0,1.0
23,24,2016-17,21600031,2016-10-29,BKN,MIL,21567,True,True,False,172.0,52.0,5.0,7.0,2.0,100.5,0.5086999999999999,08:00,46.0,0.25,0.5,True,0.0,False,1.0,1.0
24,25,2016-17,21600030,2016-10-29,IND,CHI,22190,True,True,False,174.0,30.0,21.0,25.0,17.0,92.5,0.552,08:00,30.0,0.75,0.5,True,0.0,False,2.0,2.0
25,26,2016-17,21600028,2016-10-29,MEM,NYK,32002,True,True,False,162.0,65.0,8.0,5.0,7.0,96.0,0.5242,07:30,55.0,0.5,1.0,True,0.0,False,2.0,2.0
26,27,2016-17,21600034,2016-10-29,MIN,SAC,22179,True,True,False,157.0,56.0,11.0,8.0,3.0,89.5,0.53715,10:30,49.0,0.25,0.5,True,0.0,False,1.0,1.0
27,28,2016-17,21600032,2016-10-29,NOP,SAS,23391,True,True,False,169.0,38.0,10.0,23.0,19.0,94.0,0.4386,08:00,34.0,0.5,1.0,True,0.0,False,2.0,2.0
28,29,2016-17,21600029,2016-10-29,ORL,CLE,31859,True,True,False,172.0,56.0,17.0,18.0,6.0,96.0,0.4858,07:30,50.0,0.5,1.0,True,0.0,False,3.0,3.0
29,30,2016-17,21600033,2016-10-29,POR,DEN,27076,False,True,False,198.0,60.0,8.0,7.0,2.0,104.5,0.46009999999999995,09:00,51.0,0.75,0.5,True,1.0,False,0.0,0.0
