"Player","Twitter"
"Quincy Acy","QuincyAcy"
"Steven Adams","RealStevenAdams"
"Bam Adebayo","Bam1of1"
"Cole Aldrich","colea45"
"LaMarcus Aldridge","aldridge_12"
"Jarrett Allen","JarrettAllen55"
"Tony Allen","aa000G9"
"Al-Farouq Aminu","farouq1"
"Alan Anderson","ASqared06"
"Justin Anderson","JusAnderson1"
"Kyle Anderson","KyleAnderson5"
"Ike Anigbogu","IkePostrs_"
"Giannis Antetokounmpo","Giannis_An34"
"Carmelo Anthony","carmeloanthony"
"OG Anunoby","OAnunoby"
"Trevor Ariza","TrevorAriza"
"Jamel Artis","melartis1"
"Omer Asik","AsikOmer"
"Dwayne Bacon","BaconDwayne1000"
"Ron Baker","RonBaker31"
"Lonzo Ball","ZO2_"
"Leandro Barbosa","TheBlurBarbosa"
"J.J. Barea","jjbareapr"
"Harrison Barnes","HBarnes"
"Matt Barnes","Matt_Barnes22"
"Will Barton","WillTheThrillB5"
"Nicolas Batum","nicolas88batum"
"Jerryd Bayless","jerrydbayless"
"Kent Bazemore","24Bazemore"
"Bradley Beal","RealDealBeal23"
"Malik Beasley","Mbeasy5"
"Michael Beasley","easyst0"
"Marco Belinelli","marcobelinelli"
"Jordan Bell","1jordanbell"
"Dragan Bender","DBender03"
"Anthony Bennett","AnthonyBennett"
"Davis Bertans","DBertans_42"
"Patrick Beverley","patbev21"
"Antonio Blakeney","blakeney96"
"Eric Bledsoe","EBled2"
"Vander Blue","veezy_SQ"
"Bogdan Bogdanovic","LeaderOfHorde"
"Andrew Bogut","andrewbogut"
"Devin Booker","DevinBook"
"Trevor Booker","35_Fitz"
"Chris Bosh","chrisbosh"
"Chris Boucher","chrisboucher"
"Tony Bradley","ToBrad1"
"Corey Brewer","TheCoreyBrewer"
"Aaron Brooks","Thirty2zero"
"Dillon Brooks","dbrookz8"
"MarShon Brooks","Marshon2"
"Anthony Brown","TwoShotOne"
"Bobby Brown","BBROWNLAU"
"Jaylen Brown","FCHWPO"
"Markel Brown","iMarkelBrown22"
"Thomas Bryant","nolimittb31"
"Reggie Bullock","ReggieBullock35"
"Trey Burke","TreyBurke"
"Alec Burks","AlecBurks10"
"Jimmy Butler","JimmyButler"
"Dwight Buycks","BuycksWorld13"
"Bruno Caboclo","Bruno_Caboclo"
"Kentavious Caldwell-Pope","CaldwellPope"
"Isaiah Canaan","SiP03"
"Clint Capela","CapelaClint"
"DeMarre Carroll","DeMarreCarroll1"
"Vince Carter","mrvincecarter15"
"Michael Carter-Williams","MCW1"
"Omri Casspi","Casspi18"
"Willie Cauley-Stein","THEwillieCS15"
"Tyler Cavanaugh","tycav34"
"Mario Chalmers","mchalmers15"
"Tyson Chandler","tysonchandler"
"Wilson Chandler","wilsonchandler"
"Marquese Chriss","quese"
"Rakeem Christmas","R_Xmas25"
"Semaj Christon","SemajChriston"
"Ian Clark","IanClark"
"Jordan Clarkson","JordanClarksons"
"Gian Clavell","clavelito04"
"Antonius Cleveland","ac_uno1"
"John Collins","jcollins20_"
"Zach Collins","zcollins_33"
"Kyle Collinsworth","bigrussia5"
"Darren Collison","Darren_Collison"
"Nick Collison","nickcollison4"
"Mike Conley","mconley11"
"Charles Cooke","c4_cooke"
"Jack Cooley","JackCooligan45"
"DeMarcus Cousins","boogiecousins"
"Robert Covington","Holla_At_Rob33"
"Allen Crabbe","allencrabbe"
"Torrey Craig","TCraig_23"
"Jamal Crawford","JCrossover"
"Jordan Crawford","jcraw55"
"Jae Crowder","CJC9BOSS"
"Dante Cunningham","DlamarC33"
"Seth Curry","sdotcurry"
"Stephen Curry","StephenCurry30"
"Troy Daniels","troydaniels"
"Anthony Davis","AntDavis23"
"Deyonta Davis","deyontadavis23"
"Ed Davis","eddavisXVII"
"Dewayne Dedmon","d_dedmon3"
"Sam Dekker","dekker"
"Malcolm Delaney","foe23"
"Matthew Dellavedova","matthewdelly"
"Luol Deng","LuolDeng9"
"DeMar DeRozan","DeMar_DeRozan"
"Boris Diaw","theborisdiaw"
"Spencer Dinwiddie","SDinwiddie_25"
"Tyler Dorsey","TDORSEY_1"
"Damyean Dotson","staytuned21"
"Milton Doyle","MDLU35"
"PJ Dozier","Dozier_Kid"
"Goran Dragic","Goran_Dragic"
"Andre Drummond","AndreDrummond"
"Jared Dudley","JaredDudley619"
"Kris Dunn","KrisDunn3"
"Kevin Durant","KDTrey5"
"Henry Ellenson","HenryEllenson13"
"Wayne Ellington","WayneElli22"
"Joel Embiid","JoelEmbiid"
"Tyler Ennis","TylerEnnis"
"Jawun Evans","j3vans1_"
"Jeremy Evans","JeremyEvans40"
"Tyreke Evans","TyrekeEvans"
"Dante Exum","daanteee"
"Kenneth Faried","KennethFaried35"
"Derrick Favors","dfavors14"
"Carrick Felix","C_Felix0"
"Raymond Felton","RFeltonGBMS"
"Terrance Ferguson","the2kferguson"
"Yogi Ferrell","YogiFerrell11"
"Dorian Finney-Smith","doefinney_10"
"Evan Fournier","EvanFourmizz"
"De'Aaron Fox","swipathefox"
"Randy Foye","randyfoye"
"Tim Frazier","Timfraz23"
"Channing Frye","Channing_Frye"
"Markelle Fultz","MarkelleF"
"Danilo Gallinari","gallinari8888"
"Langston Galloway","LangGalloway10"
"Patricio Garino","patitogarino"
"Marc Gasol","MarcGasol"
"Pau Gasol","paugasol"
"Rudy Gay","RudyGay8"
"Alonzo Gee","GeeAlonzo"
"Paul George","Yg_Trece"
"Marcus Georges-Hunt","GTMGH3"
"Taj Gibson","TajGibson22"
"Manu Ginobili","manuginobili"
"Rudy Gobert","rudygobert27"
"Archie Goodwin","A1Laflare10"
"Aaron Gordon","Double0AG"
"Eric Gordon","TheofficialEG10"
"Marcin Gortat","MGortat"
"Jerami Grant","JeramiGrant"
"Jerian Grant","JerianGrant"
"Josh Gray","ThatsJoshGray"
"Danny Green","DGreen_14"
"Draymond Green","Money23Green"
"JaMychal Green","Jmyke1"
"Jeff Green","unclejeffgreen"
"Blake Griffin","blakegriffin32"
"Justin Hamilton","Justin__41"
"James Harden","JHarden13"
"Maurice Harkless","moe_harkless"
"Justin Harper","Tru_Harp32"
"Montrezl Harrell","MONSTATREZZ"
"Gary Harris","thats_G_"
"Joe Harris",""
"Manny Harris","313MannyHarris"
"Tobias Harris","tobias31"
"Andrew Harrison","DrewRoc5"
"Josh Hart","joshhart"
"Udonis Haslem","ThisIsUD"
"Spencer Hawes","spencerhawes00"
"Nigel Hayes","NIGEL_HAYES"
"Gordon Hayward","gordonhayward"
"Gerald Henderson","GhJr09"
"Myke Henry","mykehenry20"
"Willy Hernangomez","willyhg94"
"Mario Hezonja","MarioHezonja"
"Buddy Hield","buddyhield"
"Nene Hilario","NeneHilario42"
"George Hill","George_Hill3"
"Jrue Holiday","Jrue_Holiday11"
"Justin Holiday","JustHolla7"
"John Holland","Jholland_23"
"Rondae Hollis-Jefferson","RondaeHJ24"
"Richaun Holmes","Rich_Holmes22"
"Al Horford","Al_Horford"
"Dwight Howard","DwightHoward"
"Josh Huestis","jhuestis"
"Kris Humphries","KrisHumphries"
"Serge Ibaka","sergeibaka_7"
"Andre Iguodala","andre"
"Joe Ingles","Joeingles7"
"Brandon Ingram","B_Ingram13"
"Kyrie Irving","KyrieIrving"
"Jonathan Isaac","jisaac_01"
"Jarrett Jack","Jarrettjack03"
"Frank Jackson","FWJackson15"
"Josh Jackson","j_josh11"
"Justin Jackson","JJacks_44"
"Reggie Jackson","Reggie_Jackson"
"LeBron James","KingJames"
"Mike James","mikejames7"
"Amile Jefferson","AmileJefferson"
"John Jenkins","JohnnyCashVU23"
"Jonas Jerebko","JonasJerebko"
"Amir Johnson","IamAmirJohnson"
"Dakari Johnson","DakariJohnson"
"James Johnson","IamJJ3"
"Joe Johnson","TheJoeJohnson7"
"Stanley Johnson","iAmSJ"
"Tyler Johnson","RealTJohnson"
"Nikola Jokic","NJokic15"
"Dahntay Jones","dahntay1"
"Damian Jones","dameology"
"Terrence Jones","TerrenceJones1"
"Tyus Jones","1Tyus"
"DeAndre Jordan","DeAndre"
"Cory Joseph","Cory_Joe"
"Frank Kaminsky","FSKPart3"
"Enes Kanter","Enes_Kanter"
"Ryan Kelly","RyanKelly34"
"Luke Kennard","LukeKennard5"
"Michael Kidd-Gilchrist","MKG14"
"Sean Kilpatrick","SeanKilpatrick"
"Kyle Korver","KyleKorver"
"Kosta Koufos","kostakoufos"
"Kyle Kuzma","kylekuzma"
"Mindaugas Kuzminskas","MKuzminskas"
"Skal Labissiere","OneBigHaitian"
"Joffrey Lauvergne","1JOLOLO"
"Zach LaVine","ZachLaVine"
"Ty Lawson","TyLawson3"
