Total_Viewers,Season,Game_ID,Game_Date,Away_Team,Home_Team,is_weekend,is_christmas,Total_FGA,Total_FTA,HT_Diff,Q4_Diff,Final_Diff,Avg_Pace,Avg_EFG,Total_Fouls,Avg_Win.,Win._Diff,First_Five_Games,Num_OT,is_opening_day,Num_Allstars,Active_Allstars,Num_Internationals,Active_Internationals,jumpshots_made,layups_made,dunks_made,tipins_made,MVP_points,SMA_points,ROY_points,MIP_points,DPOY_points,All_NBA_points,Home_Twit_Followers,Home_Twit_Favorites,Away_Twit_Followers,Away_Twit_Favorites
57691,2016-17,21600001,1477396800,NYK,CLE,False,False,181,39,3,18,29,99.5,0.4837,44,0.5,0,True,0,True,4,4,9,4,26.8934655,13.27894975,4.452723,1.12676425,333,0,8,3,3,512,49773440,2610,12960604,26967
60428,2016-17,21600003,1477405800,SAS,GSW,False,False,183,44,18,20,29,98,0.5263,38,0.5,0,True,0,True,5,5,9,6,27.24896775,12.759296,4.99477875,1.05879025,554,340,0,0,617,1168,34337629,5026,16357843,3607
40740,2016-17,21600002,1477404000,UTA,POR,False,False,157,38,8,6,9,92,0.57165,37,0.5,0,True,0,True,1,0,8,4,27.86474425,12.307806,4.49888875,0.893381,0,0,0,120,269,378,2424902,26171,1823527,5501
23947,2016-17,21600006,1477481400,BKN,BOS,False,False,186,38,6,16,5,103,0.56085,39,0.5,0,True,0,False,1,1,8,1,26.372567,14.2663495,3.72760475,0.7986205,81,0,1,36,0,237,1106772,8374,3806364,6426
12046,2016-17,21600008,1477483200,CHA,MIL,False,False,181,44,15,17,11,96.5,0.4645,44,0.5,0,True,0,False,2,2,6,5,26.2147015,14.1813215,4.4299935,0.926339,7,22,414,428,0,258,2080836,9880,2535060,5493
33922,2016-17,21600005,1477479600,DAL,IND,False,False,197,52,7,9,9,103,0.53915,50,0.5,0,True,1,False,1,1,9,4,29.2402475,11.78100425,3.75958925,0.81792525,0,0,1,6,0,40,2367115,6584,6030818,10546
14887,2016-17,21600007,1477481400,DET,TOR,False,False,170,51,12,15,18,96,0.46735,46,0.5,0,True,0,False,2,2,9,6,28.30355875,12.34610325,3.823149,1.07963325,1,0,0,1,0,62,2129187,6585,1210553,31678
34087,2016-17,21600013,1477492200,HOU,LAL,False,False,175,49,8,6,6,100,0.56265,47,0.5,0,True,0,False,1,1,8,4,25.47531575,14.24846425,5.6422975,1.087528,753,428,0,1,1,500,3319386,8252,6866107,16992
22756,2016-17,21600004,1477479600,MIA,ORL,False,False,185,44,3,11,12,95,0.46285,37,0.5,0,True,0,False,0,0,7,5,27.1048635,12.69989825,4.27277325,1.22159325,0,26,1,39,3,18,920531,9655,1264026,7675
21853,2016-17,21600009,1477483200,MIN,MEM,False,False,166,56,9,1,4,91.5,0.48615,48,0.5,0,True,0,False,1,1,5,4,26.492429,13.48547075,4.48920275,1.05875625,0,47,0,5,0,98,3408833,25244,4638142,11016
42455,2016-17,21600011,1477483200,OKC,PHI,False,False,178,51,0,6,6,100,0.4585,45,0.5,0,True,0,False,1,1,8,6,25.0378335,14.706535,4.691612,0.888931,888,14,443,0,7,498,2476985,13701,7020404,7272
14435,2016-17,21600012,1477490400,SAC,PHX,False,False,163,53,19,17,19,96.5,0.52,49,0.5,0,True,0,False,1,1,6,2,26.93338075,13.27142025,4.5651845,1.23634275,0,0,24,18,0,0,2124190,32287,2629442,8082
50539,2016-17,21600015,1477569600,BOS,CHI,False,False,168,54,8,6,6,94,0.50185,46,0.75,0.5,True,0,False,2,2,10,4,26.4801165,13.873317,3.84181975,0.90412425,81,0,1,36,0,429,11156682,5687,1106772,8374
29674,2016-17,21600017,1477578600,LAC,POR,False,False,176,78,9,0,8,101,0.46645,59,0.75,0.5,True,0,False,1,1,3,0,28.3720555,12.1036095,4.416549,1.13641275,0,20,0,3,0,116,2424902,26171,10792302,15902
27634,2016-17,21600016,1477578600,SAS,SAC,False,False,149,65,4,5,8,92,0.4683,47,1,0,True,0,False,2,2,10,5,27.82472925,12.56515625,4.463898,1.04360225,500,14,21,0,183,491,2629442,8082,16357843,3607
27848,2016-17,21600014,1477567800,WAS,ATL,False,False,182,36,1,1,15,103,0.5128,39,0.5,0,True,0,False,2,2,7,3,27.1882545,13.363721,4.29154025,1.068322,7,3,0,80,0,128,8183677,6827,2553480,7809
12886,2016-17,21600022,1477656000,CHA,MIA,False,False,178,44,11,4,6,97.5,0.436,43,1,0,True,0,False,1,1,4,2,27.205161,13.054491,3.712655,1.114937,0,26,1,39,3,18,1264026,7675,2535060,5493
48951,2016-17,21600018,1477652400,CLE,TOR,False,False,169,40,10,4,3,94,0.4524,35,1,0,True,0,False,5,5,11,6,27.80793125,12.80188775,4.336602,1.07430525,334,0,0,1,3,574,2129187,6585,49679212,2286
46471,2016-17,21600025,1477661400,GSW,NOP,False,False,191,51,9,11,8,108.5,0.514,46,0,0,True,0,False,5,5,6,4,26.318346,13.33989225,5.2319125,0.863053,56,326,0,0,434,1062,2294374,22942,34337629,5026
23043,2016-17,21600019,1477654200,IND,BKN,False,False,185,40,4,7,9,99,0.4538,45,0.5,1,True,0,False,1,1,5,1,27.243026,13.580384,3.7546585,0.86824525,0,0,0,2,0,40,3806364,6426,2298962,6497
25043,2016-17,21600024,1477659600,LAL,UTA,False,False,159,61,5,0,7,93,0.4439,47,0.5,1,True,0,False,1,0,11,5,26.72267675,12.90015675,5.3929515,1.020312,0,0,0,117,269,366,1823527,5501,3319386,8252
