Game_Date,is_weekend,is_christmas,Total_FGA,Total_FTA,HT_Diff,Q4_Diff,Final_Diff,Avg_Pace,Avg_EFG,Total_Fouls,Avg_Win.,Win._Diff,First_Five_Games,Num_OT,is_opening_day,Num_Allstars,Active_Allstars,Num_Internationals,Active_Internationals,jumpshots_made,layups_made,dunks_made,tipins_made,MVP_points,SMA_points,ROY_points,MIP_points,DPOY_points,All_NBA_points,All_Star_Points,Total_PER,Avg_PER,Avg_Allstar_Points,Total_Viewers
1477396800,0,0,181,39,3,18,29,99.5,0.4837,44,0.5,0.0,1,0,1,4,4,9,4,26.8934655,13.27894975,4.452723000000001,1.12676425,333,0,8,3,3,512,90,122.421725,30.60543125,22.5,57691
1477405800,0,0,183,44,18,20,29,98.0,0.5263,38,0.5,0.0,1,0,1,5,5,9,6,27.24896775,12.759296,4.99477875,1.05879025,554,340,0,0,617,1168,117,142.2373141,28.44746282,23.4,60428
1477404000,0,0,157,38,8,6,9,92.0,0.57165,37,0.5,0.0,1,0,1,1,0,8,4,27.86474425,12.307806,4.49888875,0.893381,0,0,0,120,269,378,0,0.0,0.0,0.0,40740
1477481400,0,0,186,38,6,16,5,103.0,0.56085,39,0.5,0.0,1,0,0,1,1,8,1,26.372567,14.266349499999999,3.72760475,0.7986205,81,0,1,36,0,237,25,33.709030299999995,33.709030299999995,25.0,23947
1477483200,0,0,181,44,15,17,11,96.5,0.4645,44,0.5,0.0,1,0,0,2,2,6,5,26.2147015,14.1813215,4.4299935,0.9263389999999999,7,22,414,428,0,258,48,49.04745495,24.52372747,24.0,12046
1477479600,0,0,197,52,7,9,9,103.0,0.53915,50,0.5,0.0,1,1,0,1,1,9,4,29.2402475,11.78100425,3.75958925,0.81792525,0,0,1,6,0,40,25,23.84809302,23.84809302,25.0,33922
1477481400,0,0,170,51,12,15,18,96.0,0.46735,46,0.5,0.0,1,0,0,2,2,9,6,28.30355875,12.34610325,3.823149,1.07963325,1,0,0,1,0,62,50,43.82151393,21.91075697,25.0,14887
1477492200,0,0,175,49,8,6,6,100.0,0.56265,47,0.5,0.0,1,0,0,1,1,8,4,25.47531575,14.24846425,5.6422975,1.087528,753,428,0,1,1,500,34,39.79151351,39.79151351,34.0,34087
1477479600,0,0,185,44,3,11,12,95.0,0.46285,37,0.5,0.0,1,0,0,0,0,7,5,27.1048635,12.69989825,4.27277325,1.22159325,0,26,1,39,3,18,0,0.0,0.0,0.0,22756
1477483200,0,0,166,56,9,1,4,91.5,0.48615,48,0.5,0.0,1,0,0,1,1,5,4,26.492428999999998,13.48547075,4.48920275,1.05875625,0,47,0,5,0,98,18,8.42790625,8.42790625,18.0,21853
1477483200,0,0,178,51,0,6,6,100.0,0.4585,45,0.5,0.0,1,0,0,1,1,8,6,25.037833499999998,14.706535,4.691612,0.8889309999999999,888,14,443,0,7,498,32,37.70022222,37.70022222,32.0,42455
1477490400,0,0,163,53,19,17,19,96.5,0.52,49,0.5,0.0,1,0,0,1,1,6,2,26.93338075,13.27142025,4.5651845,1.23634275,0,0,24,18,0,0,24,33.8426,33.8426,24.0,14435
1477569600,0,0,168,54,8,6,6,94.0,0.50185,46,0.75,0.5,1,0,0,2,2,10,4,26.480116499999998,13.873317000000002,3.84181975,0.90412425,81,0,1,36,0,429,49,48.78323089,24.39161544,24.5,50539
1477578600,0,0,176,78,9,0,8,101.0,0.46645,59,0.75,0.5,1,0,0,1,1,3,0,28.3720555,12.1036095,4.416549,1.13641275,0,20,0,3,0,116,6,4.176071428999999,4.176071428999999,6.0,29674
1477578600,0,0,149,65,4,5,8,92.0,0.4683,47,1.0,0.0,1,0,0,2,2,10,5,27.82472925,12.56515625,4.463898,1.04360225,500,14,21,0,183,491,67,73.82938378,36.91469189,33.5,27634
1477567800,0,0,182,36,1,1,15,103.0,0.5128,39,0.5,0.0,1,0,0,2,2,7,3,27.1882545,13.363721,4.29154025,1.068322,7,3,0,80,0,128,40,49.47011935,24.73505968,20.0,27848
1477656000,0,0,178,44,11,4,6,97.5,0.436,43,1.0,0.0,1,0,0,1,1,4,2,27.205161,13.054491,3.7126550000000003,1.114937,0,26,1,39,3,18,24,28.14509677,28.14509677,24.0,12886
